Unnamed: 0,Activity,Start,End,Day,user_id
0,2,10:00,10:22,1,1
1,9,10:37,10:40,1,1
2,10,10:40,10:45,1,1
3,6,10:55,11:00,1,1
4,2,11:00,11:20,1,1
5,7,12:00,13:00,1,1
6,4,13:30,13:35,1,1
7,10,13:35,13:40,1,1
8,3,13:40,13:45,1,1
9,6,13:55,14:30,1,1
10,9,14:25,14:30,1,1
11,10,14:25,14:30,1,1
12,2,14:30,16:40,1,1
13,10,16:40,16:45,1,1
14,2,16:45,18:10,1,1
15,10,18:10,18:20,1,1
16,5,18:20,18:30,1,1
17,3,18:45,18:55,1,1
18,8,19:00,19:45,1,1
19,3,20:00,20:30,1,1
20,6,20:30,21:30,1,1
21,10,21:45,21:50,1,1
22,6,21:50,22:20,1,1
23,10,22:20,22:25,1,1
24,9,22:50,22:55,1,1
25,10,22:55,23:00,1,1
26,10,23:30,23:35,1,1
27,4,23:45,23:50,1,1
28,3,23:50,23:55,1,1
29,1,00:25,00:30,2,1
30,0,00:30,,2,1
31,3,09:20,09:35,2,1
0,4,10:00,10:30,1,10
1,2,10:30,11:30,1,10
2,4,11:30,11:40,1,10
3,7,11:40,12:45,1,10
4,0,12:45,13:15,1,10
5,6,13:20,14:00,1,10
6,7,14:10,14:40,1,10
7,7,15:00,17:00,1,10
8,3,17:00,22:00,1,10
9,2,22:10,22:30,1,10
10,2,22:50,23:10,1,10
11,10,23:07,23:12,1,10
12,10,23:30,23:35,1,10
13,10,23:55,00:00,1,10
14,10,00:28,00:33,2,10
15,2,00:40,01:00,2,10
16,7,01:30,02:30,2,10
17,0,02:30,06:50,2,10
18,9,09:50,09:55,1,10
19,6,12:00,12:10,1,10
20,9,14:45,14:55,1,10
21,6,20:00,20:20,1,10
22,6,21:30,21:40,1,10
23,11,23:17,23:30,1,10
24,11,00:05,00:15,2,10
25,6,02:00,02:10,2,10
0,3,10:20,10:25,1,11
1,2,10:25,10:30,1,11
2,6,10:30,10:35,1,11
3,2,10:45,11:00,1,11
4,3,11:00,13:25,1,11
5,2,13:35,14:05,1,11
6,6,14:10,14:49,1,11
7,7,14:49,15:30,1,11
8,0,15:30,17:10,1,11
9,2,17:10,18:12,1,11
10,2,18:15,18:23,1,11
11,3,18:38,19:00,1,11
12,3,19:15,21:48,1,11
13,3,21:49,21:55,1,11
14,3,21:55,24:00,1,11
15,3,00:01,00:26,2,11
16,6,00:26,00:48,2,11
17,3,00:48,01:57,2,11
18,2,01:57,02:13,2,11
19,2,02:13,02:20,2,11
20,2,02:31,03:04,2,11
21,2,02:50,02:53,2,11
22,7,03:08,03:16,2,11
23,0,03:16,08:18,2,11
24,2,08:19,08:35,2,11
25,2,09:03,09:23,2,11
26,9,10:30,10:35,1,11
27,9,14:56,14:57,1,11
28,9,17:26,17:27,1,11
29,6,17:10,17:15,1,11
30,9,19:33,19:40,1,11
31,6,20:52,20:58,1,11
32,11,00:26,00:48,2,11
33,12,02:50,02:53,2,11
34,12,08:19,08:35,2,11
0,3,10:00,10:20,1,12
1,7,11:05,11:30,1,12
2,8,11:30,12:10,1,12
3,3,12:10,12:35,1,12
4,8,12:35,13:05,1,12
5,6,13:05,13:30,1,12
6,2,14:05,14:35,1,12
7,3,14:35,14:50,1,12
